"artist","name","song","person","sentence","year","highestRank"
"Lana Del Rey","Tom","Love",TRUE,"Ground control to Major Tom","2017","44"
"Lana Del Rey","Heaven","Ultraviolence",TRUE,"Heaven is on earth","2014","70"
"Lana Del Rey","Jim","Ultraviolence",TRUE,"Jim told me that","2014","70"
"Lana Del Rey","Baby","Video Games",TRUE,"Baby now you do","2012","91"
"Lana Del Rey","Heaven","Video Games",FALSE,"Heaven is a place on earth with you","2012","91"
"Lana Del Rey","Paul","Video Games",TRUE,"In and out of Old Paul's","2012","91"
"Lara Fabian","Heaven","I Will Love Again",TRUE,"Heaven only knows,I will love again","2000","32"
"Las Ketchup","Diego","The Ketchup Song (Hey Hah)",TRUE,"Viene Diego rumbeando","2002","54"
"Laura Branigan","Gloria","Gloria",TRUE,"Gloria, you're always on the run now","1982","2"
"Laura Branigan","Baby","Hold Me",TRUE,"Baby please hold me","1985","82"
"Laura Branigan","Mercedes","Moonlight On Water",FALSE,"What's life without a Mercedes","1990","59"
"Laura Branigan","Eddie","Spanish Eddie",TRUE,"The night Spanish Eddie cashed it in","1985","40"
"Laura Branigan","June","Spanish Eddie",FALSE,"It was June or July","1985","40"
"Laura Branigan","Baby","The Lucky One",TRUE,"Baby thinks she's smart, but what about her heart?","1984","20"
"Lauryn Hill","Christian","Doo Wop (That Thing)",FALSE,"Talking out your neck, sayin' you're a Christian","1998","1"
"Lauryn Hill","Lauryn","Doo Wop (That Thing)",TRUE,"Now, Lauryn is only human","1998","1"
"Lauryn Hill","Betty","Everything Is Everything",TRUE,"My rhymes is heavy like the mind of sister Betty","1999","35"
"LeAnn Rimes","Baby","How Do I Live",TRUE,"Baby you would take away","1997","2"
"LeAnn Rimes","Bobby Jo","Nothin' Better To Do",TRUE,"Hitched to town with Bobby Jo and Tommy","2007","73"
"LeAnn Rimes","Jim","Nothin' Better To Do",TRUE,"That Slim-Jim bag boy hadn't a prayer","2007","73"
"LeAnn Rimes","Tommy","Nothin' Better To Do",TRUE,"Hitched to town with Bobby Jo and Tommy","2007","73"
"LeAnn Rimes","Jackson","Probably Wouldn't Be This Way",FALSE,"I finally moved to Jackson when the summer came","2005","54"
"LeAnn Rimes","Susan","Probably Wouldn't Be This Way",TRUE,"Susan says that I should just move on","2005","54"
"LeAnn Rimes","Jake","Something's Gotta Give",TRUE,"Jenny's got a job, a cat named Jake,","2006","51"
"LeAnn Rimes","Jenny","Something's Gotta Give",TRUE,"Jenny's got a job, a cat named Jake,","2006","51"
"Led Zeppelin","Baby","D'yer Mak'er",TRUE,"Baby please don't go","1973","20"
"Led Zeppelin","Baby","Trampled Under Foot",TRUE,"Baby, I can work all night","1975","38"
"Led Zeppelin","Baby","Whole Lotta Love",TRUE,"Baby I'm not fooling","1969","4"
"Lee Ann Womack","Dallas","A Little Past Little Rock",FALSE,"I had to leave my life in Dallas","1998","43"
"Lee Ann Womack","Baby","Ashes By Now",TRUE,"Baby, I can't go through this again","2000","45"
"Lee Ann Womack","Denver","I'll Think Of A Reason Later",FALSE,"I heard he was gonna marry some girl from Denver","1999","38"
"Lee Ann Womack","Baby","Last Call",TRUE,"\Baby I still love you","2009","77"
"Lee Ann Womack","Johnny","Last Call",FALSE,"Glass of Johnny Walker Red,","2009","77"
"Lee Ann Womack","Heaven","Why They Call It Falling",TRUE,"I was certain it was Heaven we had found","2001","78"
"Lee Brice","Bud","A Woman Like You",FALSE,"Restocking up cold Bud Light","2011","33"
"Lee Brice","Nova","A Woman Like You",FALSE,"I'd still be driving that old green 'Nova","2011","33"
"Lee Brice","Jesus","Hard To Love",TRUE,"You're like a Sunday morning full of grace and full of Jesus","2012","27"
"Lee Brice","Coleman","Parking Lot Party",FALSE,"Now Johnny's firing up his Coleman grill","2013","62"
"Lee Brice","Johnny","Parking Lot Party",FALSE,"Now Johnny's firing up his Coleman grill","2013","62"
"Lee Brice","Marshall","Parking Lot Party",TRUE,"A little Marshall Tucker on the radio","2013","62"
"Lee Brice","Tom","Parking Lot Party",TRUE,"Old Tom is pulling his guitar out","2013","62"
"Lee Brice","Baby","That Don't Sound Like You",TRUE,"Baby, come back to","2016","64"
"Lee DeWyze","David","Hallelujah",TRUE,"David played, and it pleased the Lord","2010","44"
"Lee Dorsey","Mona Lisa","Do-Re-Mi",TRUE,"She ain't Mona Lisa as I can see","1961","27"
"Lee Dorsey","Louis","Ride Your Pony",FALSE,"to St. Louis where the girls are pretty","1965","28"
"Lee Dorsey","Baby","Ya Ya",TRUE,"Baby, honey, don't leave me worried","1961","7"
"Lee Greenwood","Houston","God Bless The USA",FALSE,"From Detroit down to Houston","2001","16"
"Lee Michaels","Bobby","Do You Know What I Mean",TRUE,"Her and Bobby were steppin out","1971","6"
"Lee Michaels","Lee","Do You Know What I Mean",TRUE,"Lee you haven't loved me in nearly four years","1971","6"
"Leif Garrett","Sue","Runaround Sue",TRUE,"A-keep away from a Runaround Sue","1977","13"
"Len","Karen","Steal My Sunshine",TRUE,"Tell, I, Karen","1999","9"
"Len","Sharon","Steal My Sunshine",TRUE,"I've never seen Sharon look so bad before","1999","9"
"Lenny Kravitz","Baby","It Ain't Over Til It's Over",TRUE,"Baby it ain't over 'til it's over","1991","2"
"Lenny Kravitz Featuring Jay-Z","Brooklyn","Storm",FALSE,"Brooklyn's bad boy back again","2004","98"
"Lenny Kravitz Featuring Jay-Z","Lenny","Storm",TRUE,"I got the bounce Lenny","2004","98"
"Leo Sayer","Fred","Long Tall Glasses (I Can Dance)",TRUE,"You gotta dance like Fred Astaire","1975","9"
"Leo Sayer","Rudy","Long Tall Glasses (I Can Dance)",TRUE,"A little Victor Sylvester and a Rudy Valentino","1975","9"
"Leo Sayer","Victor","Long Tall Glasses (I Can Dance)",TRUE,"A little Victor Sylvester and a Rudy Valentino","1975","9"
"Leonard Cohen","David","Hallelujah",TRUE,"That David played, and it pleased the Lord","2016","59"
"Lesley Gore","Johnny","It's My Party",TRUE,"Nobody knows where my Johnny has gone","1963","1"
"Lesley Gore","Judy","It's My Party",TRUE,"But Judy left the same time","1963","1"
"Lesley Gore","Johnny","Judy's Turn To Cry",TRUE,"Cause Johnny's come back","1963","5"
"Lesley Gore","Judy","Judy's Turn To Cry",TRUE,"Cause now it's Judy's turn to cry","1963","5"
"Lesley Gore","Sunshine","Sunshine, Lollipops And Rainbows",FALSE,"Sunshine, lollipops and rainbows,","1965","13"
"LeToya Featuring Ludacris","Baby","Regret",TRUE,"Baby don't look so mad","2009","78"
"LeToya Featuring Ludacris","Louis","Regret",FALSE,"Louis travel bags","2009","78"
"Letters To Cleo","Baby","Awake",TRUE,"Baby I'm leaving out the irony","1995","88"
"Level 42","Emily","Running In The Family",TRUE,"With Joseph and Emily","1987","83"
"Level 42","Joe","Running In The Family",TRUE,"My brother Joe and me","1987","83"
"Level 42","Joseph","Running In The Family",TRUE,"With Joseph and Emily","1987","83"
"LFO","Baby","I Don't Wanna Kiss You Goodnight",TRUE,"Baby, feeling your skin on my skin","2000","61"
"LFO","Alex","Summer Girls",TRUE,"Michael J. Fox was Alex P. Keaton","1999","3"
"LFO","Billy","Summer Girls",TRUE,"Billy Shakespeare wrote","1999","3"
"LFO","Georgia","Summer Girls",FALSE,"You come from Georgia","1999","3"
"LFO","Kevin","Summer Girls",TRUE,"I like Kevin Bacon","1999","3"
"LFO","Larry","Summer Girls",TRUE,"The great Larry","1999","3"
"LFO","Michael","Summer Girls",TRUE,"Michael J. Fox was Alex P. Keaton","1999","3"
"LFO","Paul","Summer Girls",TRUE,"Named Paul Revere","1999","3"
"Lighthouse","Baby","I Just Wanna Be Your Friend",TRUE,"Baby, know what I mean?","1972","93"
"Lightning Seeds","Riley","The Life Of Riley",TRUE,"For the life of Riley.","1992","98"
"Lil' Flip Featuring Lea","Bentley","Sunshine",FALSE,"We can cruise the world in a Bentley Azure","2004","2"
"Lil' Flip Featuring Lea","Lea","Sunshine",TRUE,"My girl Lea hit it","2004","2"
"Lil' Flip Featuring Lea","Sunshine","Sunshine",TRUE,"Sunshine","2004","2"
"Lil' Kim","Boston","Lighters Up",FALSE,"Boston put ya lighters up","2005","31"
"Lil' Kim","Brooklyn","Lighters Up",FALSE,"Brooklyn, home of the greatest rappers","2005","31"
"Lil' Kim","Janet","Lighters Up",TRUE,"Biggest sex symbol since Janet","2005","31"
"Lil' Kim","Kingston","Lighters Up",FALSE,"Kingston, Jamaica keep putting them lighters up","2005","31"
"Lil' Kim","Louis","Lighters Up",FALSE,"St Louis put ya lighters up","2005","31"
"Lil' Kim","Rico","Lighters Up",FALSE,"Puerto Rico put ya lighters up","2005","31"
"Lil' Kim Featuring Mr. Cheeks","Brooklyn","The Jump Off",FALSE,"Comin through in the Brooklyn Mint gear","2003","17"
"Lil' Kim Featuring Mr. Cheeks","Kim","The Jump Off",TRUE,"It's Lil' Kim and Timbaland niggas shit ya drawers","2003","17"
"Lil' Kim Featuring Mr. Cheeks","Tim","The Jump Off",TRUE,"Aiyyo Tim man this the jump off right here man!","2003","17"
"Lil' Kim Featuring Puff Daddy","Adina","No Time",TRUE,"Your girl ain't a \Freak Like Me\"" or Adina""","1996","20"
"Lil' Kim Featuring Puff Daddy","Demi","No Time",TRUE,"Zsa Zsa Gabor, Demi Moore, Prince Diane and all them rich bitches","1996","20"
"Lil' Kim Featuring Puff Daddy","Diane","No Time",TRUE,"Zsa Zsa Gabor, Demi Moore, Prince Diane and all them rich bitches","1996","20"
"Lil' Kim Featuring Puff Daddy","Ivana","No Time",TRUE,"Yeah, I Momma, Miss Ivana","1996","20"
"Lil' Kim Featuring Puff Daddy","John Paul","No Time",TRUE,"Your game ain't sweet, John Paul peeps","1996","20"
"Lil' Kim Featuring Puff Daddy","Kim","No Time",TRUE,"Lil' Kim pussy","1996","20"
"Lil' Kim Featuring Puff Daddy","Mac","No Time",FALSE,"Your Mac-11 then shoot","1996","20"
"Lil' Kim Featuring Puff Daddy","Mercedes","No Time",FALSE,"I'm drinkin' babies, then I cracks for the Mercedes","1996","20"
"Lil' Mo","Baby","Superwoman",TRUE,"I said, \Baby please' I've been thinkin' the same thing""","2001","34"
"Lil' Wayne","Baby","Fireman",TRUE,"It's Weezy Baby January December the same","2005","32"
"Lil' Wayne","Jordan","Fireman",TRUE,"Addicted to the game like Jordan and Peyton","2005","32"
"Lil' Wayne","Peyton","Fireman",TRUE,"Addicted to the game like Jordan and Peyton","2005","32"
"Lil' Wayne","Sam","Fireman",TRUE,"And my chain Toucan Sam that","2005","32"
"Lil' Wayne Featuring Juvenile & B.G.","Eddie","Tha Block Is Hot",TRUE,"Pile up in the Eddie Bauer and blaka at every hour","1999","82"
"Lil' Wayne Featuring Juvenile & B.G.","Wayne","Tha Block Is Hot",TRUE,"Broadcasting live from tha block it's Lil' Wayne","1999","82"
"Lil  Kim","Ace","No Matter What They Say",TRUE,"Girls making faces like Ace Ventura","2000","60"
"Lil  Kim","Kim","No Matter What They Say",TRUE,"Then I jumps out the Azure, a Lil' Kim aura","2000","60"
"Lil  Kim","Louis","No Matter What They Say",FALSE,"Louis Vuitton shoes and a whole lot of booze","2000","60"
"Lil  Troy Featuring Yungsta, Fat Pat, Lil  Will, Hawk, Big T","David","Wanna Be A Baller",TRUE,"My last name Lemon, drive my tight'um off the lot, David Taylor","1999","70"
"Lil  Troy Featuring Yungsta, Fat Pat, Lil  Will, Hawk, Big T","Ike","Wanna Be A Baller",TRUE,"Swisha rolled tight, got sprayed by Ike","1999","70"
"Lil  Troy Featuring Yungsta, Fat Pat, Lil  Will, Hawk, Big T","Lorenzo","Wanna Be A Baller",TRUE,"Twenty Lorenzo, smoke all up in my nose","1999","70"
"Lil  Troy Featuring Yungsta, Fat Pat, Lil  Will, Hawk, Big T","Pat","Wanna Be A Baller",TRUE,"Fat Pat blowin' killa, can't be denied","1999","70"
"Lil  Troy Featuring Yungsta, Fat Pat, Lil  Will, Hawk, Big T","Ruby","Wanna Be A Baller",TRUE,"Boobie diamond Ruby's, I'm watchin' on a movie","1999","70"
"Lil  Troy Featuring Yungsta, Fat Pat, Lil  Will, Hawk, Big T","Scott","Wanna Be A Baller",TRUE,"Drop the top on Scott, and you know I'm in a Jacuzzi","1999","70"
"Lil  Troy Featuring Yungsta, Fat Pat, Lil  Will, Hawk, Big T","Will","Wanna Be A Baller",TRUE,"Shinin' harder than the grill it's the player Lil' Will","1999","70"
"Lil  Wayne Featuring Juvenile","Eddie","Tha Block Is Hot",TRUE,"Pile up in the Eddie Bauer and blaka at every hour","1999","72"
"Lil  Wayne Featuring Juvenile","Wayne","Tha Block Is Hot",TRUE,"Broadcasting live from tha block it's Lil' Wayne","1999","72"
"Lil  Zane Featuring 112","Chris","Callin Me",TRUE,"He tell me K and big Chris driving drop tops","2000","21"
"Lil Bow Wow","Eve","Ghetto Girls",TRUE,"Switch the color on there hair like Eve","2001","91"
"Lil Bow Wow","Jada","Ghetto Girls",TRUE,"Like when Jada was Peaches in the movie Shame","2001","91"
"Lil Bow Wow","Janet","Ghetto Girls",TRUE,"Like when Janet was justic that's what I am talking about","2001","91"
"Lil Bow Wow","Mary","Ghetto Girls",TRUE,"Attitude like Mary J. Mixed with Brat","2001","91"
"Lil Bow Wow","Mickey","Ghetto Girls",TRUE,"Type that won't front for some Mickey D's","2001","91"
"Lil Bow Wow","Todd","Take Ya Home",TRUE,"I ain't tryin' to go out like Todd Bridges off Different Strokes","2002","72"
"Lil Dicky Featuring Fetty Wap & Rich Homie Quan","Ben","$ave Dat Money",TRUE,"Stayin' up all about the Ben baby","2015","71"
"Lil Dicky Featuring Fetty Wap & Rich Homie Quan","Cali","$ave Dat Money",FALSE,"I'm not in Cali, why the fuck my company in Delaware?","2015","71"
"Lil Dicky Featuring Fetty Wap & Rich Homie Quan","Dave","$ave Dat Money",TRUE,"You ain't heard of lil Dave, or L the Jew biz major","2015","71"
"Lil Dicky Featuring Fetty Wap & Rich Homie Quan","Greg","$ave Dat Money",TRUE,"I get login's for Netflix from my cousin Greg","2015","71"
"Lil Dicky Featuring Fetty Wap & Rich Homie Quan","Louie","$ave Dat Money",FALSE,"All of my luggage is Louie V, I swear to God nigga","2015","71"
"Lil Dicky Featuring Fetty Wap & Rich Homie Quan","May","$ave Dat Money",FALSE,"Book flight December but I leave in May","2015","71"
"Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ","Jon","Snap Yo Fingers",TRUE,"Dis ya boy Lil Jon!","2006","7"
"Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ","Sean Paul","Snap Yo Fingers",TRUE,"What's up, Sean Paul?","2006","7"
"Lil Jon Featuring Tyga","Jose","Bend Ova",FALSE,"With my Nicki's, Jose Cuervo, trippy","2014","92"
"Lil Jon Featuring Tyga","Nicki","Bend Ova",TRUE,"With my Nicki's, Jose Cuervo, trippy","2014","92"
"Lil Mama","Dean","Lip Gloss",TRUE,"Dean called me on the loudspeaker on the double","2007","10"
"Lil Mama","Mac","Lip Gloss",TRUE,"Mac, mac L'Oreal, yep, 'cause I'm worth it","2007","10"
"Lil Rob","Baby","Summer Nights",TRUE,"Playing some Ralphie Pagan, \Oh Baby Baby\""""","2005","36"
"Lil Rob","Rob","Summer Nights",TRUE,"Lil Rob","2005","36"
"Lil Scrappy Featuring Young Buck","Bentley","Money In The Bank",FALSE,"I got a Bentley that I only drove one time","2006","28"
"Lil Scrappy Featuring Young Buck","Cristal","Money In The Bank",FALSE,"Cup full of Cristal, box full of cigars","2006","28"
"Lil Uzi Vert","Chris","Money Longer",TRUE,"Chris","2016","54"
"Lil Wayne","Adam","3 Peat",TRUE,"I just do this shit for my click like Adam Sandler","2008","66"
"Lil Wayne","Scott","3 Peat",TRUE,"Yea I got game like Stuart, Scott","2008","66"
"Lil Wayne","Stuart","3 Peat",TRUE,"Yea I got game like Stuart, Scott","2008","66"
"Lil Wayne","Andre","A Milli",TRUE,"Andre 3000 where is Eryka Badu at","2008","6"
"Lil Wayne","Dennis","A Milli",TRUE,"On some fagot bullshit call 'em Dennis Rodman","2008","6"
"Lil Wayne","Gwen","A Milli",TRUE,"Even Gwen Stefani said she couldn't doubt me","2008","6"
"Lil Wayne","Jay","A Milli",TRUE,"They say I'm rappin' like BIG, Jay, and 2pac","2008","6"
"Lil Wayne","Mack","A Milli",TRUE,"Mack I'm goin' in","2008","6"
"Lil Wayne","Mike","A Milli",TRUE,"Boy I got so many bitches like I'm Mike Lowry","2008","6"
"Lil Wayne","Orville","A Milli",TRUE,"You pop em cause we pop em like Orville Redenbacher","2008","6"
"Lil Wayne","Tony","A Milli",TRUE,"Tony told us this world was ours","2008","6"
"Lil Wayne","Wayne","A Milli",TRUE,"Who that said they goin' beat Lil Wayne","2008","6"
"Lil Wayne","Baby","Bill Gates",TRUE,"Baby yes I do the fucking most","2010","75"
"Lil Wayne","Bill","Bill Gates",TRUE,"I used to be ballin' but now I'm Bill Gatin'","2010","75"
"Lil Wayne","Bruce","Bill Gates",TRUE,"Pockets on Bruce Bruce","2010","75"
"Lil Wayne","Ralph","Bill Gates",TRUE,"Polo Ralph Lauren bitch, yeah that's what my pajamas say","2010","75"
"Lil Wayne","Reggie","Bill Gates",FALSE,"Smoke that kush and not that Reggie","2010","75"
"Lil Wayne","Shawn","Bill Gates",TRUE,"Ride on you like Shawn White","2010","75"
"Lil Wayne","Tony","Bill Gates",TRUE,"I do it like Tony","2010","75"
"Lil Wayne","Ashton","Blunt Blowin",TRUE,"Light that Ashton Kusher, I'm a limit pusher","2011","33"
"Lil Wayne","Edward","Blunt Blowin",TRUE,"Cut the bullshit out, I'm Edward with the scissors","2011","33"
"Lil Wayne","Richard","Blunt Blowin",TRUE,"All about my riches, my name should be Richard","2011","33"
"Lil Wayne","Baby","Fireman",TRUE,"It's Weezy Baby January December the same","2006","37"
"Lil Wayne","Jordan","Fireman",TRUE,"Addicted to the game like Jordan and Peyton","2006","37"
"Lil Wayne","Peyton","Fireman",TRUE,"Addicted to the game like Jordan and Peyton","2006","37"
"Lil Wayne","Sam","Fireman",TRUE,"And my chain Toucan Sam that","2006","37"
"Lil Wayne","Bentley","Go D.J.",FALSE,"Eighteen how I'm living young'n show that Bentley","2004","14"
"Lil Wayne","Carter","Go D.J.",TRUE,"Courtesy of the young man young Carter and the great man Mannie Fresh","2004","14"
"Lil Wayne","Mike","Go D.J.",TRUE,"Hey Big Mike they better step they authority up","2004","14"
"Lil Wayne","Tommy","Go D.J.",TRUE,"I come from under the tummy, busting a Tommy","2004","14"
"Lil Wayne","Wayne","Hot Revolver",TRUE,"And she say \Wayne you ain't shit","2009","33"
"Lil Wayne","Baby","How To Love",TRUE,"Baby, so don't be mad, nobody else trippin'","2011","5"
"Lil Wayne","Baby","Hustler Musik",TRUE,"That's Weezy F. Baby and","2006","87"
"Lil Wayne","Leroy","Hustler Musik",TRUE,"Shoot ya in ya mouth, Leroy they call 'em bullet tooth","2006","87"
"Lil Wayne","Nina","Hustler Musik",TRUE,"Got Nina in my palm and I'm masturbatin'","2006","87"
"Lil Wayne","Peter","Hustler Musik",TRUE,"Black Peter","2006","87"
"Lil Wayne","Baby","I'm Me",TRUE,"Baby, I'm me, so who you, you're not me, you're not me","2008","97"
"Lil Wayne","Danny","I'm Me",TRUE,"Mel Gibson flew lethal weapon book em' Danny","2008","97"
"Lil Wayne","Junior","I'm Me",TRUE,"Junior","2008","97"
"Lil Wayne","Kevin","I'm Me",TRUE,"Call me Kevin Federline","2008","97"
"Lil Wayne","Ronald","I'm Me",TRUE,"And dear Mr. Ronald Williams","2008","97"
"Lil Wayne","Wayne","I'm Me",TRUE,"Unfuckin' believable, Little Wayne's the president","2008","97"
"Lil Wayne","Bobby","I Am Not A Human Being",TRUE,"Giving them the blues Bobby \Blue\"" Bland""","2010","65"
"Lil Wayne","Martin","I Am Not A Human Being",TRUE,"Its the mob shit nigga Martin Scorsese","2010","65"
"Lil Wayne","Pete","I Am Not A Human Being",TRUE,"Spitting that he rock im smooth not Pete Rock","2010","65"
"Lil Wayne","Wayne","I Am Not A Human Being",TRUE,"You can't see Weezy nor Wayne","2010","65"
"Lil Wayne","Lawrence","MegaMan",TRUE,"Tuck her like D. Lawrence that's my word like, word like the-saurus","2011","52"
"Lil Wayne","Samuel","MegaMan",TRUE,"We jack son then light up the \L\"" Samuel""","2011","52"
"Lil Wayne","Steve","MegaMan",TRUE,"Ball like Steve Harvey, the heater I'm a tuck her","2011","52"
"Lil Wayne","Heaven","Nightmares Of The Bottom",FALSE,"Highway to Heaven, God do you see my headlights?","2011","90"
"Lil Wayne","Helen","On Fire",TRUE,"Uh, she hot as hell lets call her Helen,","2009","62"
"Lil Wayne","America","President Carter",FALSE,"God bless America","2011","94"
"Lil Wayne Featuring Bobby Valentino","Bobby","Mrs. Officer",TRUE,"Bobby Valentino","2008","24"
"Lil Wayne Featuring Bobby Valentino","Rodney","Mrs. Officer",TRUE,"Rodney king baby yeah I beat it like a cop","2008","24"
"Lil Wayne Featuring Bruno Mars","Wayne","Mirror",TRUE,"I see you Wayne, I'm lookin' at the","2011","16"
"Lil Wayne Featuring Cory Gunz","Patricia","6 Foot 7 Foot",TRUE,"Swagger down pat, call my shit Patricia","2011","9"
"Lil Wayne Featuring Cory Gunz","Tammy","6 Foot 7 Foot",TRUE,"Had my heart broken by this woman named Tammy","2011","9"
"Lil Wayne Featuring Detail","Mack","No Worries",TRUE,"Yeah that's Mack Maine right there,","2012","29"
"Lil Wayne Featuring Detail","Stewart","No Worries",TRUE,"These are Blood gang Piru, and all rats gotta die even Stewart","2012","29"
"Lil Wayne Featuring Drake","Drake","Believe Me",TRUE,"\Drake you know I love you you just took me outta debt\""""","2014","26"
"Lil Wayne Featuring Drake","Houston","Believe Me",FALSE,"Goin' out to Houston spendin' all of my advance","2014","26"
"Lil Wayne Featuring Drake","Mack","Believe Me",TRUE,"Yeah, Stunna and Mack know","2014","26"
"Lil Wayne Featuring Drake","Michael","Believe Me",TRUE,"I tote a 223, two Michael Jordans, nigga","2014","26"
"Lil Wayne Featuring Drake","Wayne","Believe Me",TRUE,"When Wayne was gone for eight months","2014","26"
"Lil Wayne Featuring Drake","Baby","Gonorrhea",TRUE,"Weezy Baby a.k.a. bring the money home","2010","17"
"Lil Wayne Featuring Drake","Britney","Gonorrhea",TRUE,"Ball like Solange, India Arie, Britney Spears","2010","17"
"Lil Wayne Featuring Drake","India","Gonorrhea",TRUE,"Ball like Solange, India Arie, Britney Spears","2010","17"
"Lil Wayne Featuring Drake","Paul","Gonorrhea",TRUE,"Smokin' on that head band call that shit that Paul Pierce","2010","17"
"Lil Wayne Featuring Drake","Wayne","Gonorrhea",TRUE,"Wayne got a Bugatti that he steady puttin' mileage on","2010","17"
"Lil Wayne Featuring Drake","Drake","Right Above It",TRUE,"I could hand it to Drake or do a quarterback draw","2010","6"
"Lil Wayne Featuring Drake","Jesse","Right Above It",TRUE,"And you niggas know I rep my gang like Jesse James","2010","6"
"Lil Wayne Featuring Drake","Kane","Right Above It",TRUE,"Kane got the fuckin' beat jumpin' like a jumping jack","2010","6"
"Lil Wayne Featuring Drake","Marley","Right Above It",TRUE,"I'm with Marley G, bro","2010","6"
"Lil Wayne Featuring Drake","Wayne","Right Above It",TRUE,"Wayne","2010","6"
"Lil Wayne Featuring Drake","Baby","She Will",TRUE,"And look back and told me \Baby it's real\""""","2011","3"
"Lil Wayne Featuring Drake","Karma","She Will",TRUE,"Karma is a b****, well just make sure that b**** is beautiful","2011","3"
"Lil Wayne Featuring Drake","Ray","She Will",TRUE,"But I'm Ray Charles to the bulls***","2011","3"
"Lil Wayne Featuring Drake & Future","Baby","Love Me",TRUE,"I said \Baby just make me cum""","2013","9"
"Lil Wayne Featuring Drake & Jadakiss","Drake","It's Good",TRUE,"I just throw the alley-oop to Drake Griffin","2011","79"
"Lil Wayne Featuring Drake & Jadakiss","Griffin","It's Good",TRUE,"I just throw the alley-oop to Drake Griffin","2011","79"
"Lil Wayne Featuring Drake & Jadakiss","Wayne","It's Good",TRUE,"This is Wayne's World, and y'all are just some tourists","2011","79"
"Lil Wayne Featuring John Legend","Baby","So Special",TRUE,"Baby won't you spend the night","2011","95"
"Lil Wayne Featuring John Legend","Lorena","So Special",TRUE,"She crazy about that dick, Lorena Bobbitt","2011","95"
"Lil Wayne Featuring Nicki Minaj","Baby","Knockout",TRUE,"Baby one, two, three","2010","44"
"Lil Wayne Featuring Nicki Minaj","Barbra","Knockout",TRUE,"Hey Barbie, can I call you Barbra?","2010","44"
"Lil Wayne Featuring Nicki Minaj","Wayne","Knockout",TRUE,"And once you go Wayne, everybody else is whack","2010","44"
"Lil Wayne Featuring Nicki Minaj","Baby","What's Wrong With Them",TRUE,"Baby what the fuck is wrong with them","2010","42"
"Lil Wayne Featuring Nicki Minaj","Paul","What's Wrong With Them",TRUE,"I rock like a fossil, big boss shit, Paul Castellano","2010","42"
"Lil Wayne Featuring Rick Ross","Baby","John",TRUE,"Baby I'm the only one that paid your car notes","2011","22"
"Lil Wayne Featuring Rick Ross","Chiquita","John",TRUE,"That banana clip, let Chiquita speak","2011","22"
"Lil Wayne Featuring Rick Ross","Esther","John",TRUE,"I got that Esther,","2011","22"
"Lil Wayne Featuring Rick Ross","John","John",TRUE,"If I die today, remember me like John Lennon","2011","22"
"Lil Wayne Featuring Rick Ross","Jordan","John",TRUE,"Grinding in my Jordan's kick 'em off they might high, swish!","2011","22"
"Lil Wayne Featuring Rick Ross","Louis","John",FALSE,"Buried in Louis, I'm talking all brown linen, huh","2011","22"
"Lil Wayne Featuring Shanell AKA SNL","Royce","American Star",FALSE,"Royce","2010","91"
"Lil Wayne Featuring Static Major","Hilary","Lollipop",TRUE,"And when I'm at the bottom she Hilary Rodham","2008","1"
"Lil Wayne Featuring T-Pain","Wayne","Got Money",TRUE,"Young money Lil' Wayne","2008","10"
"Lil Wayne Featuring T-Pain","Wayne","How To Hate",TRUE,"Don't fuck up with Wayne 'cause when it \Wayne's\"" it pours""","2011","84"
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors","Wayne","Sucker For Pain",TRUE,"Just stay up in your lane, just don't fuck with Lil Wayne","2016","15"
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic, Ty Dolla $ign & X Ambassadors","Wayne","Sucker For Pain",TRUE,"Just stay up in your lane, just don't fuck with Lil Wayne","2016","15"
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic, Ty Dolla $ign Featuring X Ambassadors","Wayne","Sucker For Pain",TRUE,"Just stay up in your lane, just don't fuck with Lil Wayne","2016","15"
"Limp Bizkit Featuring Method Man","Elmer","N 2 Gether Now",TRUE,"Hold big gun like Elmer Fudd, the sure shot","1999","73"
"Limp Bizkit Featuring Method Man","John","N 2 Gether Now",TRUE,"And that alone will keep John Gotti on the phone","1999","73"
"Limp Bizkit Featuring Method Man","Mia","N 2 Gether Now",TRUE,"Mia","1999","73"
"Lindsey Buckingham","Jack","Holiday Road",TRUE,"Jack be nimble, Jack be quick","1983","82"
"Lionel Richie","Baby","Don't Wanna Lose You",TRUE,"Baby don't go, don't go, not now.","1996","39"
"Lionel Richie","Baby","I Call It Love",TRUE,"Baby, I don't know what love is","2006","62"
"Lionel Richie","Penny","Penny Lover",TRUE,"Penny lover, my love's on fire","1984","8"
"Lionel Richie","Baby","You Are",TRUE,"Baby you'll find","1983","4"
"Lita Ford","Baby","Shot Of Poison",TRUE,"Baby, one shot of poison","1991","45"
"Little Big Town","Jesus","Boondocks",TRUE,"It's where I learned about Jesus","2005","46"
"Little Big Town","Baby","Bring It On Home",TRUE,"Baby, leave it all behind","2006","58"
"Little Milton","Baby","Grits Ain't Groceries (All Around The World)",TRUE,"Baby!","1969","73"
